Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Nippon Life India AMC,NAM-INDIA.NS,884.55,1.46%,865,"13,23,076","55,506.10",41.68,52.5,903.7,498.05,6.28%,9.24%,26.89%,225.50%,231.35%,13.35,2.03%,27.78%,38.47%,19.06,833.25,710.68,63.1,65.60%,80.00%
Glenmark Pharmaceuticals,GLENMARK.NS,"1,909.60",-1.53%,"1,935.00","8,72,789","54,727.20",40.45,41.06,"2,284.80","1,275.50",-9.05%,-13.95%,5.03%,389.70%,289.04%,6.09,0.13%,3.84%,15.93%,-,"2,010.53","1,670.59",35.54,75.73%,80.00%
IDFC First Bank,IDFCFIRSTB.NS,73.71,-0.97%,74.35,"1,91,26,198","54,621.80",45.94,16.18,78.45,52.46,2.92%,-0.75%,1.06%,35.37%,134.75%,1.52,0.31%,9.12%,5.55%,3.82,70.53,66.42,62.76,76.00%,80.00%
Steel Authority of India,SAIL.NS,132.51,0.26%,131.5,"1,85,13,844","54,593.20",17.94,28.24,139.98,99.15,-0.21%,-1.25%,-1.35%,69.56%,300.94%,0.93,1.21%,3.98%,6.70%,9.38,128.22,120.37,50.75,73.43%,80.00%
Max Financial Services,MFSL.NS,"1,607.50",1.63%,"1,581.90","8,11,956","54,586.80",203.73,33.36,"1,674.80",950,1.66%,1.84%,34.06%,117.38%,174.60%,10.52,-,8.99%,6.69%,11,"1,581.09","1,348.86",54.97,75.00%,80.00%
PI Industries,PIIND.NS,"3,544.70",-0.56%,"3,524.70","5,84,774","54,081.40",33.4,30.08,"4,715.00","2,951.10",-4.79%,-12.48%,-22.35%,18.38%,75.25%,5.3,0.45%,19.26%,20.62%,115.17,"3,747.98","3,687.55",40.99,76.00%,80.00%
Supreme Industries,SUPREMEIND.NS,"4,264.20",0.63%,"4,150.10","51,444","53,826.40",60.86,29.32,"5,397.00","3,095.00",-5.16%,3.70%,-19.28%,115.85%,209.13%,9.57,0.80%,20.94%,21.37%,88.76,"4,378.29","4,045.16",46.76,74.61%,80.00%
Tata Communications,TATACOMM.NS,"1,798.20",-3.85%,"1,833.00","10,42,994","53,300.70",49.21,32.08,"1,974.10","1,291.00",7.66%,4.95%,-7.85%,54.28%,108.62%,16.96,1.39%,53.04%,19.88%,28.87,"1,641.32","1,627.99",66.32,75.00%,80.00%
Mphasis,MPHASIS.NS,"2,750.20",-1.19%,"2,770.00","2,90,341","52,953.60",30.08,30.79,"3,237.95","2,044.55",-6.43%,-2.80%,-7.17%,31.80%,95.90%,5.43,2.07%,17.68%,23.19%,82.67,"2,803.11","2,666.96",45.43,76.00%,80.00%
Linde,LINDEINDIA.NS,"6,177.50",-0.34%,"6,180.00","9,114","52,863.40",117.55,38.95,"8,499.00","5,242.40",-5.39%,-9.69%,-23.96%,94.69%,691.99%,13.8,0.19%,12.52%,15.21%,52.52,"6,365.49","6,420.21",39.93,67.17%,80.00%
Godfrey Phillips,GODFRYPHLP.NS,"3,295.80",-1.34%,"3,300.00","1,94,815","52,108.80",42.28,26.21,"3,947.00","1,370.80",-3.34%,9.24%,42.74%,658.21%,1029.28%,9.8,0.96%,20.86%,26.74%,172.61,"3,419.53","2,593.74",44.58,57.79%,74.77%
Federal Bank,FEDERALBNK.NS,213.02,2.27%,208.1,"1,51,74,980","51,247.20",12.93,16.18,220,172.66,8.53%,1.16%,8.27%,70.55%,306.14%,1.52,0.56%,12.70%,6.45%,16.45,196.21,196.31,76.25,76.00%,80.00%
JK Cement,JKCEMENT.NS,"6,630.50",0.14%,"6,588.00","44,359","51,159.30",56.3,43.77,"7,565.50","3,891.45",2.40%,1.84%,54.42%,164.35%,288.18%,8.42,0.23%,14.84%,13.32%,111.1,"6,770.59","5,584.74",52.23,71.78%,80.00%
Kalyan Jewellers,KALYANKJIL.NS,474.8,-2.07%,483,"21,22,526","50,063.30",61.17,48.56,795.4,399.4,-5.93%,-18.94%,-36.76%,370.10%,531.38%,10.2,0.32%,14.24%,20.89%,6.12,511.06,533.68,41.91,70.00%,80.00%
Sundaram Finance,SUNDARMFIN.NS,"4,429.80",0.46%,"4,395.00","36,664","48,991.20",25.63,52.5,"5,419.00","3,925.05",-0.07%,-12.21%,-13.25%,100.28%,240.79%,3.73,0.79%,12.84%,10.15%,140.47,"4,579.12","4,754.59",45.64,67.71%,80.00%
APL Apollo Tubes,APLAPOLLO.NS,"1,742.20",0.21%,"1,738.60","1,52,410","48,269.80",60.41,28.24,"1,936.00","1,272.70",2.45%,2.94%,11.56%,59.89%,520.68%,11.5,0.33%,21.36%,22.02%,26.38,"1,660.85","1,619.73",62.82,76.00%,80.00%
Kaynes Technology India,KAYNES.NS,"6,838.50",-3.71%,"7,070.00","11,94,945","47,608.00",144.23,73.96,"7,822.00","3,825.15",-4.09%,13.54%,20.35%,891.16%,891.16%,10.31,-,9.91%,15.98%,32.73,"6,724.92","5,827.25",43.66,69.50%,75.00%
Laurus Labs,LAURUSLABS.NS,874.3,-0.28%,877.45,"19,85,637","47,329.10",92.88,41.06,944,440.45,-2.31%,6.12%,82.55%,73.49%,167.04%,10.57,0.14%,4.09%,12.08%,2.75,872.43,692.32,50.62,75.20%,80.00%
Biocon,BIOCON.NS,349.4,-1.15%,353.45,"8,33,741","47,255.00",131.81,41.06,406,291,-2.47%,-7.83%,0.84%,33.16%,-22.61%,1.79,0.13%,5.13%,6.26%,13,358.34,353.05,45.16,75.63%,80.00%
United Breweries,UBL.NS,"1,761.80",-1.07%,"1,775.10","46,487","47,087.90",100,33.96,"2,299.70","1,738.40",-2.00%,-9.94%,-15.44%,6.46%,81.49%,10.68,0.57%,9.82%,13.92%,16.92,"1,840.67","1,979.47",38.68,73.05%,80.00%
