Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
ATUL,ATUL.NS,"5,994.50",-0.62%,"6,025.00","8,568","17,759.30",35.25,38.95,"8,097.00","4,752.00",-7.00%,-20.64%,-24.41%,-31.59%,0.65%,3.15,0.42%,6.28%,11.71%,112.61,"6,344.54","6,476.11",35.62,70.29%,80.00%
Aditya Birla Lifestyle Brands,ABFRL.NS,139.07,-2.63%,142.82,"9,72,163","17,428.20",136.42,34.99,175,129.5,-3.13%,-11.11%,-12.34%,-12.34%,-12.34%,6.8,-,-,12.54%,-,139.73,-,48.06,60.00%,-
ACME Solar Holdings,ACMESOLAR.NS,283.65,-0.47%,284,"5,89,013","17,245.00",41.91,23.28,324.3,167.75,-8.85%,-2.68%,12.05%,12.05%,12.05%,3.81,0.07%,-,6.42%,-,288.29,242.36,46.68,60.00%,70.00%
Century Plyboards,CENTURYPLY.NS,746.4,-3.08%,770.9,"1,28,890","17,109.50",81.68,33.36,924.35,631,-7.87%,1.65%,-17.92%,19.56%,336.36%,7.01,0.13%,20.10%,11.67%,12.61,775.45,756.72,33.9,69.54%,80.00%
Afcons Infrastructure,AFCONS.NS,463.5,0.03%,463.35,"3,61,275","17,041.30",32.01,29.97,570,390,2.42%,9.73%,-2.26%,-2.26%,-2.26%,3.24,0.54%,-,15.25%,-,437.31,448.91,62.19,60.00%,70.00%
TBO Tek,TBOTEK.NS,"1,536.60",-1.60%,"1,561.60","51,408","16,957.10",77.41,41.06,"1,845.55",996,-3.36%,14.04%,-10.96%,9.27%,9.27%,13.92,-,36.82%,21.62%,19.78,"1,495.44","1,404.51",49.79,60.00%,65.00%
UTI AMC,UTIAMC.NS,"1,371.70",4.59%,"1,311.00","7,44,361","16,812.40",24.64,52.5,"1,494.80",905,1.75%,-2.56%,14.51%,88.77%,166.61%,3.83,3.49%,16.13%,20.36%,61.66,"1,337.81","1,196.01",58.13,67.69%,80.00%
Concord Biotech,CONCORDBIO.NS,"1,565.20",-2.36%,"1,604.00","41,935","16,770.00",46.03,41.06,"2,451.70","1,345.00",-5.74%,-14.79%,-18.57%,66.02%,66.02%,9.04,0.56%,20.18%,26.76%,29.94,"1,650.94","1,790.82",40.54,50.00%,70.00%
Triveni Turbines,TRITURBINE.NS,525.45,-0.23%,520.05,"1,87,016","16,741.20",48.86,45.92,885,460.3,-3.12%,-19.04%,-34.17%,104.06%,622.27%,13.73,0.76%,25.33%,38.63%,9.07,529.04,581.41,47.34,50.00%,75.00%
PG Electroplast,PGEL.NS,583.75,-0.38%,577.05,"48,63,861","16,645.40",61.21,73.96,"1,054.20",465,1.84%,-25.51%,-5.74%,455.16%,6767.65%,5.87,0.04%,19.57%,14.42%,7.08,573.47,767.65,60.24,66.60%,74.98%
Ircon International,IRCON.NS,173.91,-1.55%,175.8,"13,46,982","16,613.30",24.49,29.97,237.7,134.24,-5.31%,-8.98%,-21.78%,306.81%,368.76%,2.59,1.52%,14.65%,9.42%,10.27,173.05,179.5,47.61,60.50%,79.75%
Ventive Hospitality,VENTIVE.NS,703.35,-1.04%,713,"31,567","16,599.00",132.74,40.64,840,523.4,-8.03%,-8.99%,-0.14%,-0.14%,-0.14%,3.42,-,-,5.99%,-,740.21,-,40.08,65.00%,-
LMW,LMW.NS,"14,823.00",0.62%,"14,733.00","2,249","16,597.80",152.26,53.63,"18,250.00","13,450.05",0.01%,-8.45%,-13.36%,-12.73%,-12.73%,5.69,0.20%,13.82%,5.04%,272.28,"14,841.82","15,733.77",50.72,70.00%,75.00%
